game,gameLabel,esrbRatingLabel,pegiRatingLabel,year
http://www.wikidata.org/entity/Q64566657,Animal Crossing: New Horizons,для всех,PEGI 3,2026
http://www.wikidata.org/entity/Q119819453,Super Mario Bros. Wonder,для всех,PEGI 3,2026
http://www.wikidata.org/entity/Q76122450,Sayonara Wild Hearts,для всех старше 10 лет,PEGI 12,2026
http://www.wikidata.org/entity/Q106974937,Q106974937,для всех старше 10 лет,,2026
http://www.wikidata.org/entity/Q134723560,Q134723560,для всех старше 10 лет,,2026
http://www.wikidata.org/entity/Q136231642,Dragon Quest VII Reimagined,для всех старше 10 лет,,2026
http://www.wikidata.org/entity/Q136231656,Mega Man Star Force Legacy Collection,для всех старше 10 лет,,2026
http://www.wikidata.org/entity/Q29300592,Hollow Knight,для всех старше 10 лет,PEGI 7,2026
http://www.wikidata.org/entity/Q131755746,PGA Tour 2K25,для всех,,2026
http://www.wikidata.org/entity/Q50077283,Usotsuki Hime to Mōmoku Ōji,для всех старше 10 лет,,2026
http://www.wikidata.org/entity/Q135017566,Escape from Ever After,для всех,,2026
http://www.wikidata.org/entity/Q135114669,"Dear me, I was…",для всех,,2026
http://www.wikidata.org/entity/Q136231470,Pokémon Pokopia,для всех,PEGI 3,2026
http://www.wikidata.org/entity/Q136231667,Mario Tennis Fever,для всех,,2026
http://www.wikidata.org/entity/Q137800705,Bomb Jack Twin,для всех,,2026
http://www.wikidata.org/entity/Q122948317,Madō Monogatari 4,для всех старше 10 лет,,2026
http://www.wikidata.org/entity/Q124357469,Balatro,для всех старше 10 лет,PEGI 12,2026
http://www.wikidata.org/entity/Q113989188,Palworld,Teen,,2026
http://www.wikidata.org/entity/Q63464391,Sniper Elite 5,Mature 17+,PEGI 16,2026
http://www.wikidata.org/entity/Q85753234,Coffee Talk,Teen,PEGI 12,2026
http://www.wikidata.org/entity/Q125506077,Lorelei and the Laser Eyes,Teen,PEGI 12,2026
http://www.wikidata.org/entity/Q15408545,Kingdom Come: Deliverance,Mature 17+,PEGI 18,2026
http://www.wikidata.org/entity/Q122963211,Q122963211,Teen,,2026
http://www.wikidata.org/entity/Q96240015,Q96240015,http://www.wikidata.org/.well-known/genid/e4a3e8349bcebaac647eedd1ca4af19a,,2026
http://www.wikidata.org/entity/Q16259349,Castle of Shikigami III,Teen,,2026
http://www.wikidata.org/entity/Q133807552,Ys X: Proud Nordics,Teen,,2026
http://www.wikidata.org/entity/Q135527596,Q135527596,Teen,,2026
http://www.wikidata.org/entity/Q136770128,BlazBlue Entropy Effect X,Teen,,2026
