game,gameLabel,genreLabel,esrbRatingLabel,pegiRatingLabel,year
http://www.wikidata.org/entity/Q131755746,PGA Tour 2K25,симулятор гольфа,для всех,,2026
http://www.wikidata.org/entity/Q135017566,Escape from Ever After,приключенческая компьютерная игра,для всех,,2026
http://www.wikidata.org/entity/Q135017566,Escape from Ever After,компьютерная ролевая игра,для всех,,2026
http://www.wikidata.org/entity/Q135114669,"Dear me, I was…",приключенческая компьютерная игра,для всех,,2026
http://www.wikidata.org/entity/Q136231470,Pokémon Pokopia,симулятор жизни,для всех,PEGI 3,2026
http://www.wikidata.org/entity/Q136231667,Mario Tennis Fever,спортивная компьютерная игра,для всех,,2026
http://www.wikidata.org/entity/Q137800705,Bomb Jack Twin,платформер,для всех,,2026
http://www.wikidata.org/entity/Q29300592,Hollow Knight,метроидвания,для всех старше 10 лет,PEGI 7,2026
http://www.wikidata.org/entity/Q29300592,Hollow Knight,компьютерная игра с ЛГБТ-персонажем,для всех старше 10 лет,PEGI 7,2026
http://www.wikidata.org/entity/Q29300592,Hollow Knight,соулсвания,для всех старше 10 лет,PEGI 7,2026
http://www.wikidata.org/entity/Q29300592,Hollow Knight,2D-платформер,для всех старше 10 лет,PEGI 7,2026
http://www.wikidata.org/entity/Q50077283,Usotsuki Hime to Mōmoku Ōji,приключенческий экшен,для всех старше 10 лет,,2026
http://www.wikidata.org/entity/Q119819453,Super Mario Bros. Wonder,2D-платформер,для всех,PEGI 3,2026
http://www.wikidata.org/entity/Q64566657,Animal Crossing: New Horizons,симулятор жизни,для всех,PEGI 3,2026
http://www.wikidata.org/entity/Q122948317,Madō Monogatari 4,компьютерная ролевая игра,для всех старше 10 лет,,2026
http://www.wikidata.org/entity/Q124357469,Balatro,карточный роуглайк,для всех старше 10 лет,PEGI 12,2026
http://www.wikidata.org/entity/Q76122450,Sayonara Wild Hearts,музыкальная компьютерная игра,для всех старше 10 лет,PEGI 12,2026
http://www.wikidata.org/entity/Q134723560,Q134723560,beat ’em up,для всех старше 10 лет,,2026
http://www.wikidata.org/entity/Q136231642,Dragon Quest VII Reimagined,компьютерная ролевая игра,для всех старше 10 лет,,2026
http://www.wikidata.org/entity/Q136231656,Mega Man Star Force Legacy Collection,тактическая ролевая игра,для всех старше 10 лет,,2026
http://www.wikidata.org/entity/Q106974937,Q106974937,action RPG,для всех старше 10 лет,,2026
http://www.wikidata.org/entity/Q85753234,Coffee Talk,визуальная новелла,Teen,PEGI 12,2026
http://www.wikidata.org/entity/Q129440575,Q129440575,приключенческая компьютерная игра,Mature 17+,,2026
http://www.wikidata.org/entity/Q129440575,Q129440575,хоррор-игра,Mature 17+,,2026
http://www.wikidata.org/entity/Q133100790,Q133100790,приключенческий экшен,Mature 17+,,2026
http://www.wikidata.org/entity/Q134707677,Q134707677,action RPG,Mature 17+,,2026
http://www.wikidata.org/entity/Q137779656,Yakuza Kiwami 3 & Dark Ties,приключенческая компьютерная игра,Mature 17+,,2026
http://www.wikidata.org/entity/Q137779656,Yakuza Kiwami 3 & Dark Ties,action RPG,Mature 17+,,2026
